iter	Passed	Remaining
410	4770	24245
411	4778	24216
412	4788	24197
413	4800	24185
414	4808	24157
415	4819	24141
416	4826	24110
417	4836	24087
418	4843	24058
419	4853	24036
420	4861	24008
421	4870	23984
422	4878	23955
423	4890	23943
424	4900	23923
425	4914	23925
426	4928	23928
427	4938	23905
428	4947	23884
429	4958	23868
430	4973	23873
431	4983	23857
432	4992	23832
433	5008	23842
434	5022	23844
435	5036	23840
436	5056	23869
437	5117	24090
438	5150	24182
439	5182	24263
440	5219	24370
441	5254	24463
442	5286	24547
443	5310	24592
444	5339	24659
445	5361	24691
446	5374	24683
447	5386	24672
448	5399	24664
449	5409	24645
450	5419	24622
451	5430	24605
452	5444	24602
453	5456	24591
454	5471	24592
455	5483	24577
456	5493	24558
457	5504	24541
458	5515	24523
459	5524	24501
460	5534	24480
461	5549	24481
462	5560	24464
463	5571	24445
464	5581	24428
465	5595	24425
466	5610	24424
467	5622	24412
468	5633	24394
469	5643	24374
470	5655	24364
471	5667	24351
472	5679	24340
473	5689	24320
474	5699	24296
475	5708	24273
476	5716	24246
477	5729	24238
478	5739	24215
479	5748	24191
480	5761	24184
481	5773	24173
482	5784	24154
483	5794	24135
484	5803	24110
485	5813	24089
486	5821	24063
487	5830	24038
488	5840	24020
489	5850	23998
490	5872	24029
491	5883	24010
492	5893	23993
493	5903	23973
494	5913	23951
495	5925	23939
496	5935	23920
497	5949	23916
498	5969	23938
499	5988	23953
500	6000	23942
501	6016	23946
502	6030	23940
503	6043	23936
504	6053	23915
505	6067	23908
506	6078	23896
507	6093	23893
508	6105	23883
509	6117	23868
510	6128	23854
511	6140	23844
512	6152	23831
513	6165	23822
514	6177	23809
515	6190	23803
516	6206	23805
517	6220	23800
518	6230	23779
519	6240	23760
520	6249	23739
521	6259	23720
522	6270	23704
523	6279	23679
524	6288	23658
525	6299	23641
526	6312	23632
527	6322	23614
528	6332	23593
529	6343	23578
530	6354	23561
531	6364	23544
532	6375	23526
533	6387	23517
534	6398	23501
535	6414	23505
536	6425	23489
537	6437	23477
538	6447	23457
539	6460	23449
540	6471	23432
541	6479	23408
542	6490	23392
543	6501	23375
544	6522	23395
545	6541	23408
546	6551	23393
547	6560	23369
548	6570	23350
549	6580	23330
550	6589	23306
551	6599	23290
552	6609	23269
553	6620	23257
554	6630	23236
555	6640	23216
556	6649	23196
557	6657	23170
558	6665	23142
559	6672	23114
560	6679	23087
561	6687	23061
562	6695	23037
563	6703	23011
564	6712	22988
565	6722	22969
566	6732	22951
567	6741	22929
568	6749	22905
569	6757	22881
570	6766	22857
571	6774	22834
572	6782	22809
573	6791	22787
574	6801	22768
575	6809	22744
576	6817	22719
577	6825	22696
578	6833	22672
579	6842	22649
580	6850	22625
581	6858	22602
582	6866	22577
583	6876	22559
584	6884	22535
585	6893	22514
586	6901	22491
587	6909	22468
588	6918	22446
589	6927	22424
590	6935	22402
591	6949	22397
592	6958	22378
593	6966	22354
594	6974	22330
595	6982	22307
596	6992	22288
597	7000	22265
598	7009	22243
599	7017	22220
600	7025	22200
601	7034	22178
602	7043	22156
603	7051	22134
604	7059	22111
605	7067	22087
606	7075	22066
607	7083	22042
608	7092	22023
609	7100	22000
610	7108	21978
611	7116	21954
612	7125	21935
613	7133	21911
614	7141	21889
615	7150	21868
616	7158	21847
617	7166	21823
618	7174	21800
619	7182	21777
620	7190	21756
621	7198	21734
622	7207	21714
623	7214	21690
624	7229	21687
625	7242	21680
626	7253	21669
627	7266	21660
628	7278	21649
629	7291	21643
630	7302	21629
631	7314	21618
632	7325	21605
633	7335	21588
634	7347	21580
635	7360	21571
636	7371	21560
637	7382	21544
638	7393	21531
639	7406	21525
640	7415	21506
641	7427	21495
642	7441	21492
643	7454	21482
644	7467	21477
645	7523	21591
646	7546	21613
647	7557	21600
648	7571	21594
649	7584	21586
650	7599	21584
651	7610	21571
652	7620	21555
653	7634	21548
654	7645	21535
655	7655	21520
656	7668	21511
657	7680	21499
658	7689	21480
659	7700	21468
660	7710	21450
661	7720	21435
662	7732	21425
663	7741	21406
664	7752	21391
665	7763	21379
666	7772	21360
667	7784	21349
668	7797	21340
669	7805	21318
670	7818	21312
671	7833	21308
672	7845	21297
673	7855	21281
674	7865	21266
675	7876	21253
676	7886	21235
677	7898	21226
678	7910	21215
679	7920	21199
680	7930	21184
681	7945	21179
682	7955	21164
683	7965	21146
684	7975	21131
685	7985	21115
686	7996	21101
687	8005	21084
688	8016	21072
689	8030	21064
690	8041	21053
691	8051	21036
692	8063	21026
693	8075	21015
694	8085	20999
695	8098	20990
696	8110	20980
697	8118	20960
698	8130	20948
699	8143	20939
700	8151	20919
701	8163	20907
702	8174	20895
703	8184	20878
704	8195	20865
705	8204	20848
706	8214	20833
707	8227	20824
708	8237	20809
709	8247	20793
710	8259	20781
711	8268	20764
712	8279	20750
713	8290	20738
714	8299	20719
715	8308	20702
716	8317	20682
717	8326	20664
718	8333	20643
719	8342	20625
720	8350	20603
721	8359	20585
722	8366	20564
723	8375	20546
724	8383	20525
725	8392	20506
726	8403	20495
727	8412	20476
728	8420	20457
729	8431	20442
730	8440	20426
731	8448	20406
732	8458	20391
733	8469	20377
734	8490	20389
735	8502	20379
736	8516	20372
737	8530	20365
738	8544	20359
739	8554	20345
740	8566	20336
741	8580	20329
742	8594	20324
743	8607	20315
744	8618	20301
745	8629	20290
746	8641	20279
747	8650	20262
748	8662	20249
749	8674	20239
750	8682	20221
751	8693	20208
752	8705	20197
753	8714	20180
754	8725	20167
755	8734	20149
756	8746	20137
757	8758	20128
758	8767	20111
759	8779	20100
760	8790	20087
761	8799	20070
762	8810	20058
763	8826	20055
764	8838	20046
765	8847	20028
766	8855	20007
767	8862	19987
768	8871	19970
769	8879	19950
770	8887	19930
771	8894	19909
772	8905	19895
773	8918	19887
774	8930	19876
775	8938	19857
776	8946	19839
777	8954	19819
778	8963	19801
779	8971	19783
780	8979	19764
781	8988	19747
782	8997	19729
783	9005	19711
784	9014	19694
785	9022	19675
786	9031	19658
787	9039	19639
788	9048	19623
789	9057	19604
790	9065	19586
791	9073	19567
792	9082	19549
793	9089	19530
794	9098	19513
795	9106	19494
796	9115	19478
797	9123	19459
798	9132	19442
799	9140	19422
800	9150	19408
801	9158	19391
802	9167	19374
803	9175	19355
804	9184	19338
805	9192	19319
806	9201	19302
807	9209	19285
808	9217	19266
809	9225	19249
810	9233	19230
811	9242	19212
812	9250	19194
813	9258	19176
814	9266	19158
815	9274	19140
816	9282	19121
817	9290	19103
818	9298	19085
819	9306	19066
820	9314	19048
821	9322	19030
822	9330	19012
823	9338	18993
824	9346	18976
825	9354	18957
826	9362	18939
827	9369	18920
828	9377	18902
829	9386	18885
830	9394	18867
831	9401	18848
832	9409	18830
833	9421	18819
834	9429	18802
835	9439	18788
836	9447	18770
837	9456	18755
838	9464	18737
839	9473	18721
840	9481	18704
841	9491	18689
842	9499	18671
843	9512	18663
844	9523	18653
845	9537	18646
846	9549	18635
847	9561	18626
848	9571	18613
849	9583	18604
850	9597	18596
851	9608	18585
852	9619	18572
853	9629	18560
854	9640	18547
855	9653	18539
856	9664	18528
857	9677	18520
858	9686	18504
859	9698	18494
860	9710	18484
861	9719	18469
862	9731	18458
863	9747	18456
864	9818	18557
865	9831	18550
866	9842	18538
867	9857	18534
868	9869	18523
869	9880	18512
870	9892	18502
871	9906	18495
872	9925	18497
873	9938	18489
874	9947	18473
875	9957	18459
876	9966	18443
877	9977	18431
878	9988	18419
879	9996	18402
880	10012	18399
881	10020	18383
882	10035	18377
883	10044	18361
884	10054	18347
885	10062	18330
886	10070	18312
887	10078	18294
888	10085	18276
889	10093	18258
890	10100	18240
891	10108	18222
892	10116	18204
893	10124	18188
894	10132	18169
895	10139	18152
896	10148	18135
897	10156	18118
898	10163	18100
899	10171	18082
900	10178	18064
901	10186	18046
902	10193	18028
903	10201	18009
904	10208	17992
905	10216	17975
906	10224	17957
907	10232	17940
908	10240	17923
909	10248	17907
910	10256	17890
911	10264	17872
912	10272	17855
913	10279	17838
914	10288	17822
915	10296	17805
916	10304	17788
917	10312	17771
918	10320	17755
919	10329	17739
920	10337	17722
921	10345	17706
922	10354	17690
923	10362	17675
924	10370	17658
925	10379	17642
926	10387	17625
927	10395	17609
928	10405	17596
929	10414	17581
930	10422	17565
931	10431	17549
932	10439	17533
933	10447	17516
934	10455	17500
935	10463	17484
936	10471	17467
937	10481	17453
938	10489	17437
939	10498	17422
940	10506	17406
941	10515	17391
942	10524	17377
943	10532	17361
944	10543	17348
945	10551	17332
946	10561	17319
947	10570	17304
948	10579	17290
949	10588	17275
950	10597	17260
951	10611	17254
952	10620	17239
953	10629	17224
954	10637	17209
955	10649	17198
956	10659	17186
957	10667	17170
958	10676	17156
959	10684	17140
960	10695	17127
961	10703	17111
962	10710	17094
963	10718	17078
964	10725	17061
965	10734	17045
966	10742	17030
967	10750	17014
968	10758	16997
969	10765	16980
970	10773	16964
971	10780	16947
972	10788	16931
973	10796	16915
974	10804	16898
975	10811	16882
976	10818	16865
977	10826	16848
978	10834	16832
979	10842	16817
980	10850	16801
981	10859	16786
982	10867	16770
983	10875	16754
984	10882	16738
985	10891	16723
986	10902	16712
987	10910	16697
988	10919	16682
989	10926	16666
990	10935	16651
991	10946	16639
992	10965	16641
993	10980	16636
994	10994	16630
995	11008	16623
996	11021	16615
997	11036	16610
