iter	RMSE
0	0.389284349
1	0.382340233
2	0.3746560216
3	0.3676000764
4	0.3602640835
5	0.3536261904
6	0.3464531842
7	0.3399621659
8	0.3331909046
9	0.3275756953
10	0.3212702185
11	0.3155919445
12	0.3099268732
13	0.3047778293
14	0.2996345831
15	0.2942695707
16	0.2892454697
17	0.2849994925
18	0.2801022804
19	0.2754701272
20	0.2715233235
21	0.2670990716
22	0.2627713994
23	0.2586725656
24	0.2542386933
25	0.2504065837
26	0.2463470932
27	0.2427788481
28	0.2392052302
29	0.2353739734
30	0.2317652594
31	0.2286227731
32	0.2253346945
33	0.2223352258
34	0.2191057278
35	0.2161072387
36	0.2131663439
37	0.2102445392
38	0.2071727191
39	0.2042219699
40	0.2018242448
41	0.199334763
42	0.1969971067
43	0.1950800151
44	0.19291315
45	0.1905668502
46	0.188481943
47	0.1864251499
48	0.1842750583
49	0.182358157
50	0.180259029
51	0.1782207014
52	0.1763850358
53	0.1744560408
54	0.1725677428
55	0.170942673
56	0.1694012047
57	0.1678652376
58	0.166034905
59	0.1644898243
60	0.1630473889
61	0.1615477941
62	0.1602587214
63	0.1588041316
64	0.1575425868
65	0.1562816337
66	0.155139842
67	0.1537674718
68	0.1526372441
69	0.1515316034
70	0.15059376
71	0.1493586751
72	0.1482375635
73	0.1471438331
74	0.1458947299
75	0.1449354219
76	0.14395486
77	0.1429043329
78	0.1418399235
79	0.1408281736
80	0.1399556778
81	0.1390865648
82	0.1382985731
83	0.1375027516
84	0.1367289289
85	0.13591982
86	0.1351960657
87	0.1344466302
88	0.133783994
89	0.132993093
90	0.1322029734
91	0.1315336467
92	0.1308904152
93	0.1302778489
94	0.1296791954
95	0.128995018
96	0.1285663006
97	0.1279457735
98	0.1275521416
99	0.1269857508
100	0.1263833341
101	0.125632308
102	0.1249758789
103	0.1243888051
104	0.1238391352
105	0.1232997231
106	0.1227603843
107	0.1222670681
108	0.121877047
109	0.1215754499
110	0.121160411
111	0.1206360687
112	0.120275654
113	0.1197724845
114	0.1193677117
115	0.1189854573
116	0.1186182815
117	0.1182447434
118	0.1178760268
119	0.1174536333
120	0.1170626398
121	0.1166792241
122	0.1163648297
123	0.1160376512
124	0.1157013061
125	0.115305887
126	0.1149569149
127	0.1146290683
128	0.1142728697
129	0.1139716772
130	0.1136388416
131	0.1132391844
132	0.1129680047
133	0.1126514541
134	0.1123021747
135	0.11199849
136	0.1116685347
137	0.1113134845
138	0.1109651701
139	0.1107814377
140	0.1104864907
141	0.11026589
142	0.1099935491
143	0.1097753542
144	0.1094940405
145	0.1092733743
146	0.1090511316
147	0.1087857895
148	0.1084358001
149	0.1081458194
150	0.1077845767
151	0.1075278001
152	0.107247301
153	0.1069232501
154	0.1066576567
155	0.1064567985
156	0.1061897386
157	0.1060183026
158	0.1057422689
159	0.1055549043
160	0.1053571923
161	0.1051271735
162	0.1048542123
163	0.1046516747
164	0.1044789248
165	0.1041451456
166	0.1039275408
167	0.1036717043
168	0.1035166656
169	0.1032898127
170	0.1029871137
171	0.102733886
172	0.1024985297
173	0.1023218775
174	0.1021678671
175	0.1019986441
176	0.101718166
177	0.1015723226
178	0.1013221847
179	0.1011528741
180	0.1008888412
181	0.1006548208
182	0.1005099094
183	0.1002433159
184	0.1001064739
185	0.100057583
186	0.09985146392
187	0.09970194092
188	0.0993747617
189	0.09914453195
190	0.09896774387
191	0.09882665805
192	0.09861071993
193	0.0983638356
194	0.09821853939
195	0.09799047266
196	0.09776115044
197	0.09756767692
198	0.09739744791
199	0.09721258025
200	0.09707615402
201	0.09697643091
202	0.0968280833
203	0.0967100052
204	0.09654794684
205	0.09644043291
206	0.09623913423
207	0.09617034316
208	0.09594331909
209	0.09579743153
210	0.09569756997
211	0.09557813343
212	0.0954463062
213	0.09531659076
214	0.09518084902
215	0.09512078567
216	0.09500903176
217	0.09493289404
218	0.09480038086
219	0.09463460478
220	0.09444185134
221	0.09430980396
222	0.09414516112
223	0.09395460584
224	0.09383445753
225	0.09377411723
226	0.09364031729
227	0.09350865613
228	0.09338698008
229	0.09329101561
230	0.09321515889
231	0.09312215989
232	0.09296672172
233	0.09283241527
234	0.09267430249
235	0.09249296997
236	0.09237546719
237	0.09221020183
238	0.09202277035
239	0.0918664503
240	0.09173754664
241	0.09160668459
242	0.09142336933
243	0.09126833157
244	0.09112634976
245	0.0910538191
246	0.09090580636
247	0.09079195409
248	0.09067420351
249	0.0905229067
250	0.09046945524
251	0.09037554208
252	0.09021806131
253	0.09007114751
254	0.08987074462
255	0.08979591426
